기준_년분기_코드,상권_코드,상권_코드_명,자치구,상권유형,서비스_업종_코드,서비스_업종_코드_명,전체_점포_수,p_순감소,예측_개업건수,예측_폐업건수,예측_개업률,예측_폐업률
20261,3110137,성수초등학교,성동구,골목상권,CS100001,한식음식점,61,0.36292522121983994,2.712035650602004,2.4718042681502492,4.445960082954105,4.052138144508605
20261,3110137,성수초등학교,성동구,골목상권,CS100003,일식음식점,5,0.1597480392033377,0.21448848954106098,0.22567604197695978,4.28976979082122,4.513520839539196
20261,3110137,성수초등학교,성동구,골목상권,CS100004,양식음식점,8,0.22455898423249826,0.35829774466476944,0.3615612291207119,4.478721808309618,4.519515364008899
20261,3110137,성수초등학교,성동구,골목상권,CS100005,제과점,7,0.19750814515351184,0.2690312666471241,0.3003603215861635,3.84330380924463,4.290861736945193
20261,3110137,성수초등학교,성동구,골목상권,CS100008,분식전문점,5,0.16670339665540698,0.22259728186125535,0.22790579059179608,4.451945637225107,4.558115811835921
20261,3110137,성수초등학교,성동구,골목상권,CS100010,커피-음료,54,0.4212221570805474,2.4172397618189607,2.787287131657195,4.476369929294371,5.161642836402213
20261,3110138,송정체육공원,성동구,골목상권,CS100001,한식음식점,16,0.3267566544543435,0.6905268532222905,0.5919270393821844,4.315792832639316,3.6995439961386523
20261,3110138,송정체육공원,성동구,골목상권,CS100008,분식전문점,5,0.17280447110838063,0.19581535059051508,0.22807635015103805,3.9163070118103014,4.561527003020761
20261,3110138,송정체육공원,성동구,골목상권,CS100010,커피-음료,10,0.21867726904464344,0.45140721834411873,0.46096855671907955,4.514072183441187,4.6096855671907955
20261,3110139,자양4동주민센터,광진구,골목상권,CS100001,한식음식점,25,0.3673695048165357,1.083728698802641,1.022712879916956,4.334914795210564,4.090851519667824
20261,3110139,자양4동주민센터,광진구,골목상권,CS100002,중식음식점,5,0.11134501349458709,0.20150342653864123,0.24968606808260088,4.030068530772825,4.9937213616520175
20261,3110139,자양4동주민센터,광진구,골목상권,CS100008,분식전문점,7,0.19859940669059312,0.2816368189624333,0.3511691162710066,4.023383128034761,5.0167016610143795
20261,3110139,자양4동주민센터,광진구,골목상권,CS100009,호프-간이주점,14,0.28722148479454973,0.403771525333962,0.5853492664435327,2.884082323814014,4.181066188882376
20261,3110139,자양4동주민센터,광진구,골목상권,CS100010,커피-음료,21,0.29410406398530964,0.8942329410252308,1.0858608553168063,4.2582521001201465,5.170765977699078
